n,d,epsilon,delta,mechanism1_mse,mechanism2_mse,mechanism3_mse,mechanism1_sd,mechanism2_sd,mechanism3_sd
10,100,2.0,1e-06,12.60662917590943,7.299270606742956,4.948557966857783,3.51738130070162,2.6935530772492244,2.206975942718614
10,100,2.0,1e-05,10.245178052122158,6.265026547883236,4.349293823077455,3.171453009881784,2.4851821834305947,2.0718078784508513
10,100,2.0,0.0001,8.783932042030095,4.846274854707909,2.903754960783066,2.9396677448839754,2.186306838059316,1.6954922451145218
10,100,5.0,1e-06,2.121985393335984,1.1448808698813235,0.9240833185239243,1.4490583602988765,1.066409089484739,0.9552282384863346
10,100,5.0,1e-05,1.831493665412824,0.929729204716093,0.7863292913215705,1.3367859367304964,0.9614483188405571,0.8842104359082079
10,100,5.0,0.0001,1.4490758002150295,0.756613003438632,0.6026775287828032,1.1925123715419335,0.8644562696891525,0.7689941423267117
50,1,0.05,1e-06,21408.448578360014,11490.660520317659,5166.747662905755,145.00472460152633,106.29113171530985,71.66730511705701
50,1,0.05,1e-05,17907.85563012509,9544.291682864623,3390.0611276034724,132.29002647524592,97.01971409740284,57.81216222340514
50,1,0.05,0.0001,13610.067446511346,6794.840713273579,2053.1232714880807,115.60070135825308,81.58876268877981,44.80143012766391
50,1,0.1,1e-06,5174.21503028607,2769.5628827340756,1323.5321939976143,71.37133596505386,52.19607758458309,36.18809379963617
50,1,0.1,1e-05,4269.081782254255,2275.885344108863,1004.2305213672356,65.08341618369326,47.335846978620445,31.461387276157655
50,1,0.1,0.0001,3410.99709585268,1982.1692619072169,600.6733428178137,58.12953598953247,44.16411091356344,24.41271528284127
50,1,0.5,1e-06,211.41311378421787,113.74811322166936,61.88128173718434,14.472125370856272,10.599439579896998,7.8291640284755815
50,1,0.5,1e-05,170.67946004418522,89.37615469693034,50.77044308009003,12.98716478276684,9.412893265520372,7.054774382014545
50,1,0.5,0.0001,142.1191175767953,73.09079168886281,34.053457190097774,11.840879107637027,8.510917757625277,5.8001603282401
50,1,1.0,1e-06,48.36974010807384,25.63780733059976,19.136085070649955,6.895457879791086,5.039315252596621,4.33729388569685
