n,d,epsilon,Laplace MSE,Gaussian MSE,Laplace SD,Gaussian SD
100,5,5.0,8.817186972784063e-06,4.17933881813882e-05,0.002948572539028007,0.006385917948886044
100,10,0.05,0.08670090388116239,0.3805395771315009,0.29187660912306546,0.6069898010163699
100,10,0.1,0.020816328716291237,0.09603776015166453,0.14266716477605912,0.30897485599428104
100,10,0.5,0.0007874205939215793,0.004287594456711304,0.02768257164526939,0.06519051179438873
100,10,1.0,0.0002096812261494567,0.0009187230458340995,0.0143700323623908,0.030048423093648934
100,10,2.0,4.0725918994763596e-05,0.00022323523138971518,0.006330596521819718,0.014844521280681247
100,10,5.0,8.818710518236285e-06,4.087420019781194e-05,0.002927029338468863,0.006354144263391212
100,50,0.05,0.08641794469382447,0.38389763056338566,0.2912715731642417,0.6147628725918801
100,50,0.1,0.017939992161237043,0.09254570573122205,0.13296374650428114,0.30061916067868366
100,50,0.5,0.0008645063742129686,0.004228154205076341,0.028806528863664964,0.06450351024414029
100,50,1.0,0.00018649558375450321,0.0009538787665737703,0.01357981536333236,0.030639562103650902
100,50,2.0,5.401161665378103e-05,0.00023321388374295226,0.007282512177380317,0.015172951418382577
100,50,5.0,7.56838026338355e-06,4.0190628479817376e-05,0.002716365857997017,0.0063102828210348265
100,100,0.05,0.07816812146845001,0.3597696926574032,0.278036699871324,0.5959883349514025
100,100,0.1,0.02089063602071961,0.09255380698543945,0.14272833850765412,0.30126194883477614
100,100,0.5,0.0007633738905663782,0.004050628249878989,0.02732703079071145,0.06321267577458183
100,100,1.0,0.00020908562126603744,0.001013076975976197,0.014330594921509319,0.03159928319191001
100,100,2.0,5.4100182584097825e-05,0.00023788931741331902,0.007257722275861589,0.015326812750289003
100,100,5.0,8.33911066919148e-06,3.630118016490195e-05,0.0028527021748517554,0.00597082652089642
500,1,0.05,0.0033306030207883447,0.015282282406760416,0.05725018241748018,0.12222668238533532
500,1,0.1,0.0008019421236521203,0.004124065234103316,0.02798905241713594,0.06390033428312497
500,1,0.5,3.4062167233307463e-05,0.0001486155471076344,0.005766505886153471,0.012082356629428071
500,1,1.0,7.773325157916854e-06,3.771882428625249e-05,0.002751067151742427,0.006083265275608898
500,1,2.0,2.0527709807337993e-06,9.883751679452372e-06,0.0014227008690841467,0.0031231633161239933
500,1,5.0,3.055029589529569e-07,1.5768269346656442e-06,0.0005481268210146093,0.0012486810742825816
500,5,0.05,0.003338990168167609,0.016751852522245286,0.057073448966817306,0.1290007575281068
500,5,0.1,0.0007790898644165426,0.003843987865489338,0.027588152781291796,0.061452405519318284
500,5,0.5,3.0488844707150283e-05,0.0001460807982645648,0.005478955793315058,0.012016212972836848
500,5,1.0,8.68008612917163e-06,4.0009717311373754e-05,0.0029209688866919836,0.0062918054686469885
500,5,2.0,2.1349144180351943e-06,9.492478379765556e-06,0.0014483652048128963,0.0030628728367653782
500,5,5.0,3.110812122049933e-07,1.5490585038273494e-06,0.0005534095788089247,0.0012381726538423822
500,10,0.05,0.002959933235877536,0.015105365559567329,0.05357829049402012,0.12175491374507239
500,10,0.1,0.0007343463672187526,0.003665117585509576,0.02674084409630707,0.06009171378409252
500,10,0.5,3.443223464117663e-05,0.00015473209216132692,0.005775155257283255,0.012311146073459154
500,10,1.0,8.838314296422724e-06,4.11997600599563e-05,0.0029463807811587845,0.006386299612772664
500,10,2.0,1.9638688740614128e-06,1.051497441565578e-05,0.0013832800328734353,0.003227186860291971
500,10,5.0,3.120582090199515e-07,1.5764425251867448e-06,0.0005504497850125273,0.0012421951677539396
500,50,0.05,0.003107906319286777,0.016117246344461333,0.05457773930091171,0.12627719231865228
500,50,0.1,0.0007911373671790343,0.0037507836010927872,0.02791939698833979,0.06092995169438775
500,50,0.5,3.194902604798079e-05,0.00014687141403858214,0.005596490045046623,0.012010195155006027
500,50,1.0,7.972051226811429e-06,3.672646185928079e-05,0.0027848189835923682,0.006022863617191775
500,50,2.0,1.920147867087306e-06,9.328484514512688e-06,0.001375690721744638,0.003021918378404246
500,50,5.0,3.3622181021730236e-07,1.531243675990887e-06,0.0005711101885076038,0.0012298699499771787
500,100,0.05,0.0030725642325308312,0.014615773518539335,0.05468429341852121,0.12009720747970867
500,100,0.1,0.0008167816824479017,0.003670352619317812,0.028007811719118314,0.0602869427313666
500,100,0.5,3.138526072666756e-05,0.00015424978871515332,0.005561705985325275,0.012305082049311859
500,100,1.0,7.630976277412865e-06,3.9857695648684546e-05,0.002736603702911874,0.006272081498045284
500,100,2.0,2.0271400526120775e-06,9.391823520859294e-06,0.0014100944360306068,0.0030447901396904913
500,100,5.0,3.1819484104396054e-07,1.6006924515315272e-06,0.0005573597428746805,0.0012487833608889954
